,marketCap,beta,returnOnEquity,returnOnAssets,profitMargins,grossMargins,ebitdaMargins,debtToEquity,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,CAGR,Volatility,Mean_Return,Sharpe_Ratio,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Technology,sector_Utilities,industry_Aluminum,industry_Asset Management,industry_Auto Manufacturers,industry_Auto Parts,industry_Banks - Regional,industry_Building Materials,industry_Credit Services,industry_Drug Manufacturers - Specialty & Generic,industry_Engineering & Construction,industry_Household & Personal Products,industry_Information Technology Services,industry_Insurance - Life,industry_Insurance Brokers,industry_Medical Care Facilities,industry_Oil & Gas Integrated,industry_Oil & Gas Refining & Marketing,industry_Packaged Foods,industry_Software - Infrastructure,industry_Steel,industry_Telecom Services,industry_Thermal Coal,industry_Tobacco,industry_Utilities - Independent Power Producers,industry_Utilities - Regulated Electric,industry_Utilities - Regulated Gas,industry_Utilities - Renewable,region_US,region_None
21,0.024037503850324514,0.6011428571428571,0.176245683275777,0.3029648258222558,0.6364325055029189,0.56431997,0.37045262496479103,0.05449094518494511,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.34964488977129476,0.06314629890602941,0.2838368402278653,0.4175877528238747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,0.035064460558243894,0.4577142857142857,0.1811174148988653,0.35782989300767315,0.6549589992662774,0.66503,0.3644833488613958,0.004686086240192305,0.5555555555555556,0.3333333333333333,0.7777777777777777,0.0,0.4444444444444445,0.33152682093177993,0.13640494098118328,0.2713561679596302,0.35391640797511204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.018923904205036812,0.5868571428571429,0.15817710131968424,0.24010230916099276,0.626000893227422,0.68307996,0.34009706844625487,0.10625734311064296,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.7084230849087878,0.22282753250261234,0.6744650511050126,0.8860261882232447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,0.06445441565727397,0.5142857142857142,0.15817710131968424,0.24010230916099276,0.6903292181069959,0.6034,0.4337096180096635,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.0,0.49811351402162907,0.24562203394477788,0.4723156945639123,0.5833722880353042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,0.02951977913560317,0.5194285714285714,0.15817710131968424,0.24010230916099276,0.5554439021277953,0.33824003,0.23103590232487597,0.3067529608772569,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.1111111111111111,0.4485088330389875,0.11291269270347215,0.40064799269709434,0.5831929494326163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,0.012568511754709362,0.7662857142857142,0.15817710131968424,0.24010230916099276,0.5853749960123775,0.58652,0.3100881849500574,0.09104106740131535,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.8614025542785608,0.28792176643909506,0.8183718410061335,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,1.0,0.5405714285714285,0.05841452886038481,0.1284268093231024,0.5660988292340574,0.36044,0.27547505037592357,0.12027171197450338,0.6666666666666665,1.0,0.6666666666666665,0.0,1.0,0.31694426714525503,0.06567787099034461,0.2454162548026259,0.34551366576210263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,0.137144929219135,0.6062857142857143,0.15817710131968424,0.24010230916099276,0.5435448368264906,0.18049,0.2378501939202219,0.1693473240691974,1.0,1.0,0.1111111111111111,0.7777777777777777,0.8888888888888888,0.5882751944322716,0.267186987315995,0.567949277773137,0.6947231466877363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,0.10997608124947866,0.5485714285714285,0.15817710131968424,0.24010230916099276,0.7673780345806616,1.0,1.0,0.4902969655228295,0.4444444444444445,1.0,0.4444444444444445,0.3333333333333333,0.8888888888888888,0.5072082091446954,0.20670292895356734,0.4762017753312426,0.6193226290309736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,0.09273559372402157,0.8542857142857143,0.11158732116428219,0.1512302316365863,0.5258796695058539,0.1468,0.16718306502285876,0.24512147361881995,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6993021474616651,0.27844747712536755,0.674993596597862,0.8248365918338932,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
