Date,Close_ADANIENT,Close_ADANIGREEN,Close_AXISBANK,Close_BAJFINANCE,Close_BOSCHLTD,Close_BRITANNIA,Close_CIPLA,Close_DABUR,Close_DIVISLAB,Close_DRREDDY,Close_GODREJCP,Close_HCLTECH,Close_HDFCBANK,Close_HEROMOTOCO,Close_HINDUNILVR,Close_ICICIBANK,Close_INFY,Close_KOTAKBANK,Close_LTIM,Close_LUPIN,Close_MARUTI,Close_NESTLEIND,Close_NTPC,Close_PAYTM,Close_RELIANCE,Close_SBIN,Close_SUNPHARMA,Close_TATAMOTORS,Close_TCS,Close_TECHM,Close_YESBANK
2022-10-24,3305.123779296875,2121.25,907.047119140625,709.6375732421875,14843.51953125,3633.24365234375,1116.1844482421875,519.05908203125,3545.511474609375,858.1500854492188,794.30224609375,918.093994140625,703.0101928710938,2322.87158203125,2438.193603515625,903.9210815429688,1398.093505859375,1889.9874267578125,4546.173828125,670.6942138671875,8510.3671875,1008.4096069335938,152.44952392578125,637.5,1132.0430908203125,539.5609741210938,958.6383056640625,394.4970703125,2894.77978515625,939.29736328125,15.75
2022-10-25,3295.836669921875,2079.89990234375,900.4644775390625,699.4358520507812,14865.560546875,3556.990478515625,1124.943359375,514.5149536132812,3530.494873046875,870.8629760742188,794.9801635742188,913.5550537109375,698.1263427734375,2326.20068359375,2374.043212890625,902.7013549804688,1405.876708984375,1840.9381103515625,4614.6787109375,674.3888549804688,8742.9462890625,979.7806396484375,154.64108276367188,656.3499755859375,1114.559326171875,547.1743774414062,963.0574951171875,397.3948669433594,2895.14697265625,970.0800170898438,15.600000381469727
2022-10-27,3320.30224609375,2117.60009765625,912.7320556640625,686.4572143554688,14957.53125,3597.416259765625,1134.6754150390625,530.8547973632812,3553.9521484375,880.4393920898438,809.1173095703125,918.4944458007812,699.8103637695312,2348.827392578125,2386.93017578125,902.067138671875,1419.052734375,1859.2818603515625,4486.64013671875,692.9110717773438,8778.8212890625,972.5756225585938,155.82815551757812,649.8499755859375,1118.941650390625,548.2147827148438,982.5799560546875,400.48919677734375,2890.84326171875,964.1206665039062,15.75
2022-10-28,3318.604736328125,2098.550048828125,900.6640014648438,689.9775390625,15310.25390625,3618.874267578125,1124.261962890625,532.7885131835938,3481.76513671875,874.3132934570312,803.5496215820312,916.669921875,701.87939453125,2384.0048828125,2391.905029296875,885.9168090820312,1409.08935546875,1878.4727783203125,4398.27392578125,686.1130981445312,9216.3076171875,979.7830200195312,158.93283081054688,642.8499755859375,1153.178955078125,539.7974243164062,961.5520629882812,402.6502685546875,2896.19873046875,940.0142822265625,15.649999618530273
2022-10-31,3342.720458984375,2102.89990234375,903.606201171875,703.4927978515625,15665.7802734375,3608.193115234375,1136.1353759765625,536.3175048828125,3542.02734375,869.1672973632812,803.01708984375,926.5931396484375,720.1637573242188,2408.2958984375,2416.96826171875,886.746337890625,1431.809814453125,1896.1185302734375,4547.66064453125,688.6746826171875,9250.337890625,989.5480346679688,158.0653839111328,638.4000244140625,1163.8837890625,542.6820068359375,987.6791381835938,405.4498596191406,2923.57470703125,952.963623046875,15.550000190734863
2022-11-01,3570.64794921875,2121.25,869.4466552734375,709.9329223632812,15770.95703125,3628.7412109375,1141.974609375,545.1160278320312,3765.360595703125,889.0845947265625,811.8286743164062,943.4137573242188,728.1271362304688,2404.967041015625,2434.234375,886.6487426757812,1464.7265625,1903.34619140625,4649.1708984375,698.7732543945312,9179.4619140625,1000.5572509765625,166.0097198486328,642.9000244140625,1154.867919921875,545.6138916015625,1006.81298828125,413.89776611328125,2984.507080078125,959.6846923828125,15.5
2022-11-02,3575.640869140625,2137.050048828125,861.2683715820312,704.6843872070312,15751.0048828125,3567.384033203125,1128.20361328125,543.6173706054688,3711.379638671875,893.0739135742188,807.0355224609375,930.1975708007812,728.584228515625,2378.69677734375,2402.277587890625,882.843017578125,1446.3826904296875,1904.0938720703125,4662.79541015625,696.9998779296875,8960.81640625,990.7118530273438,165.23353576660156,642.5999755859375,1162.08056640625,542.729248046875,1021.7218627929688,414.6836242675781,2968.02587890625,969.6318969726562,15.5
2022-11-03,3585.3271484375,2106.699951171875,861.7670288085938,701.2772216796875,15731.6220703125,3596.218505859375,1131.950439453125,539.8783569335938,3711.379638671875,899.7882080078125,805.389404296875,930.1531982421875,725.384521484375,2380.85595703125,2429.03515625,886.6975708007812,1425.384765625,1894.3240966796875,4642.791015625,701.6304321289062,8970.2333984375,992.4661865234375,162.67674255371094,643.0499877929688,1166.4173583984375,553.1800537109375,1014.1945190429688,408.887939453125,2936.026611328125,943.5092163085938,16.100000381469727
2022-11-04,3827.834228515625,2121.25,865.8062744140625,710.1791381835938,15507.7314453125,3644.260009765625,1115.40576171875,541.4321899414062,3676.88134765625,887.0850219726562,802.8718872070312,930.3310546875,720.38037109375,2329.169677734375,2404.233154296875,883.428466796875,1409.7877197265625,1894.1246337890625,4611.99169921875,700.1526489257812,8960.9130859375,992.5560302734375,161.5809783935547,650.3499755859375,1183.5816650390625,561.7392578125,1010.0182495117188,417.8270263671875,2945.778076171875,944.2262573242188,16.450000762939453
2022-11-07,3955.00439453125,2165.699951171875,870.6435546875,708.0176391601562,15625.49609375,3965.223388671875,1100.6129150390625,537.6446533203125,3351.278564453125,879.3121948242188,800.6447143554688,931.9331665039062,725.9859008789062,2358.093994140625,2416.109619140625,895.3338012695312,1403.6884765625,1876.8277587890625,4663.37109375,699.3643798828125,9061.6923828125,995.2262573242188,160.5765380859375,651.25,1189.904052734375,580.8438110351562,998.8001098632812,427.3063049316406,2960.701416015625,944.0916748046875,16.549999237060547
