,symbol,CAGR,Volatility,Mean_Return,Sharpe_Ratio,pred_signal,mean_returns,lower_mean_returns,upper_mean_returns
0,TCS.NS,0.015083601505722966,0.012526471407950608,0.0001385350943216734,0.011059386942259298,-0.008502012491226197,0.9914979875087738,0.9728549999999998,1.010531
1,INFY.NS,0.016739564809696184,0.015020177220275526,0.00018000338322975327,0.01198410515335127,0.06865711212158203,1.068657112121582,1.059518527984619,1.0777956962585449
2,HCLTECH.NS,0.1847250627464856,0.014539537690351543,0.0007918094763954786,0.05445905456271312,0.017239803075790407,1.0172398030757903,0.985225,1.050407
3,TECHM.NS,0.1432261162984474,0.015798462170100735,0.0006660753499053954,0.04216077126582431,-0.022447699308395387,0.9775523006916046,0.9682431221008301,0.9868614792823791
4,LTIM.NS,0.07713945734195149,0.016858068437529385,0.0004432218414549736,0.02629137751441763,0.06913630962371826,1.0691363096237183,1.0483600000000002,1.090379
5,WIPRO.NS,0.09155786791982834,0.015472826108428627,0.0004740203049574459,0.030635664204823533,,,,
6,COFORGE.NS,0.34476156259303403,0.021157695001089084,0.0014221030378783663,0.06721445969445936,,,,
7,PERSISTENT.NS,0.48489548867512045,0.020697741636478497,0.001814215185433562,0.08765280856710084,,,,
8,MPHASIS.NS,0.1432891472878921,0.019501355422792802,0.0007313429713225894,0.03750216102762837,,,,
9,HDFCBANK.NS,0.11078741668608139,0.011840117424056738,0.0004956750613395989,0.041864032558704765,-0.015358531475067138,0.9846414685249328,0.966644,1.003007
10,ICICIBANK.NS,0.14890694181522535,0.011174154977769076,0.0006243054254010974,0.05587048207610775,-0.02151806354522705,0.978481936454773,0.9750572919845581,0.9819065809249878
11,SBIN.NS,0.19947881932793576,0.01486005668503871,0.0008476416818752354,0.05704161833572625,0.07649335861206055,1.0764933586120606,1.0692472219467164,1.0837394952774049
12,KOTAKBANK.NS,0.034957607370317056,0.013391273216382062,0.00022902151119850067,0.01710229546495473,0.04902083873748779,1.0490208387374877,1.031748,1.0666090000000001
13,AXISBANK.NS,0.10899631968911883,0.013694629878749299,0.0005124418763793254,0.037419184082843254,0.04944549202919006,1.04944549202919,1.027897,1.07149
14,BAJFINANCE.NS,0.14006200712271144,0.015740305897666732,0.0006541619690588048,0.04155967319261404,0.0956457257270813,1.0956457257270813,1.0859360098838806,1.105355441570282
15,HDFCAMC.NS,0.40137613951782436,0.018896590935223178,0.0015446296780021016,0.0817411819569485,,,,
16,HDFCLIFE.NS,0.10972443401914211,0.015163949154355535,0.0005360714414382074,0.03535170396454619,,,,
17,YESBANK.NS,0.13493193990748598,0.025223353698591983,0.0008247427802907874,0.03269758613965859,0.1393857479095459,1.139385747909546,1.111719,1.1678099999999998
18,PAYTM.NS,0.26827022298025804,0.03294876476833204,0.001512930315175643,0.045917664161715756,0.12872151136398316,1.1287215113639832,1.0876379999999999,1.171552
19,POLICYBZR.NS,0.6653098564753426,0.026565417684743117,0.0024138883763804245,0.09086581679334008,,,,
20,SUNPHARMA.NS,0.19604049947279,0.011608630742518122,0.0007920181136415591,0.06822666093949303,0.029319125413894653,1.0293191254138947,1.0134189999999998,1.0454940000000001
21,DRREDDY.NS,0.11265486747769282,0.012700845727266432,0.0005128257549009405,0.04037729186805221,0.019762212038040163,1.01976221203804,1.0119238436222076,1.0276005804538726
